routeId,routeName,edition,host,owner,projectId,projectUrl,projectDownloadsAtCheck,packageType,fileName,recordId,recordUrl,minecraftVersion,loader,publishedDate,fileSizeMb,fileDownloadsAtCheck,status,recommendedUse,caution,localGuideUrl
java-curseforge-stable,Verity JE stable CurseForge file,Java,CurseForge,VarmiteYT,1591438,https://www.curseforge.com/minecraft/mc-mods/verity-je,2358767,jar,verity-5.7.3.jar,8461257,https://www.curseforge.com/minecraft/mc-mods/verity-je/files/8461257,1.20.1,Forge,2026-07-18,235.1,654900,current-stable,Use when the player needs the stable Java Forge 1.20.1 file.,Do not replace this with a Bedrock MCADDON or a copied beta link.,https://veritymodchecker.online/verity-5-7-3-jar/
java-modrinth-stable,Verity JE stable Modrinth version,Java,Modrinth,Varmite,on1Y0osD,https://modrinth.com/mod/verity-je-official,340202,jar,verity-5.7.3.jar,yAt0wv1Z,https://modrinth.com/mod/verity-je-official/version/5.7.3,1.20.1,Forge,2026-07-18,235.06,272419,current-stable,Use when the player needs the Modrinth checksum and publisher version record.,Project downloads and version downloads are separate counters.,https://veritymodchecker.online/verity-5-7-3-jar/
java-modrinth-601-observed,Verity JE 6.0.1 beta observed record,Java,Modrinth,Varmite,on1Y0osD,https://modrinth.com/mod/verity-je-official,340202,jar,verity-6.0.1-all.jar,YLEoXe6t,https://modrinth.com/mod/verity-je-official/version/6.0.1-beta,1.20.1,Forge,2026-07-28,243.15,459,stale-beta-endpoint-404,Use only for stale-link diagnosis when a comment or video names 6.0.1.,The version endpoint returned 404 and the ID was not in the active versions list at check.,https://veritymodchecker.online/verity-6-0-1-jar/
java-modrinth-600-observed,Verity JE 6.0.0 beta observed record,Java,Modrinth,Varmite,on1Y0osD,https://modrinth.com/mod/verity-je-official,340202,jar,verity-6.0.0.jar,5ech0sTo,https://modrinth.com/mod/verity-je-official/version/6.0.0-beta,1.20.1,Forge,2026-07-27,235.11,14933,stale-beta-endpoint-404,Use only for stale-link diagnosis when a comment or video names 6.0.0.,The version endpoint returned 404 and the ID was not in the active versions list at check.,https://veritymodchecker.online/verity-6-0-0-jar/
java-neoforge-341-legacy,Verity JE 3.4.1 legacy NeoForge file,Java,CurseForge,VarmiteYT,1591438,https://www.curseforge.com/minecraft/mc-mods/verity-je,2358767,jar,verity-3.4.1.jar,8346795,https://www.curseforge.com/minecraft/mc-mods/verity-je/files/8346795,1.21.1,NeoForge,2026-06-30,156,276800,legacy-deprecated-branch,Use only when the exact old filename or NeoForge 1.21.1 branch is the question.,The maintainer describes this branch as deprecated and buggy.,https://veritymodchecker.online/verity-3-4-1-jar/
bedrock-verity-be-current,Verity BE official Bedrock file,Bedrock,CurseForge,Undertaletalelover,1574632,https://www.curseforge.com/minecraft-bedrock/addons/verity-be,4048008,mcaddon,Verity (Stable) (1.1.0)-(26.3).mcaddon,8506198,https://www.curseforge.com/minecraft-bedrock/addons/verity-be/files/8506198,26.30,,2026-07-25,21.3,203900,current-bedrock-addon,"Use when the selected page names Verity BE, Undertaletalelover, or record 8506198.","This is a Bedrock MCADDON route, not a Java JAR.",https://veritymodchecker.online/verity-be/
pntmc-8517480,PnTMC Verity Bedrock file 8517480,Bedrock,CurseForge,PnTMC,1575941,https://www.curseforge.com/minecraft-bedrock/addons/verity-bedrock-edition,7383790,mcaddon,ThatMob's Verity 3.2.0 by PnTMC [Add-on] - V26.30.mcaddon,8517480,https://www.curseforge.com/minecraft-bedrock/addons/verity-bedrock-edition/files/8517480,26.30,,2026-07-27,39.6,248900,current,Use as the current PnTMC V26.30 row.,Match the exact Bedrock build row before importing.,https://veritymodchecker.online/pntmc-verity-3-2-0/
pntmc-8517478,PnTMC Verity Bedrock file 8517478,Bedrock,CurseForge,PnTMC,1575941,https://www.curseforge.com/minecraft-bedrock/addons/verity-bedrock-edition,7383790,mcaddon,ThatMob's Verity 3.2.0 by PnTMC [Add-on] - V26.20.mcaddon,8517478,https://www.curseforge.com/minecraft-bedrock/addons/verity-bedrock-edition/files/8517478,26.20,,2026-07-27,39.6,21500,current-version-other-bedrock-build,Use only when the player's Bedrock build or old tutorial names this exact record.,Match the exact Bedrock build row before importing.,https://veritymodchecker.online/pntmc-verity-3-2-0/
pntmc-8517473,PnTMC Verity Bedrock file 8517473,Bedrock,CurseForge,PnTMC,1575941,https://www.curseforge.com/minecraft-bedrock/addons/verity-bedrock-edition,7383790,mcaddon,ThatMob's Verity 3.2.0 by PnTMC [Add-on] - V26.10.mcaddon,8517473,https://www.curseforge.com/minecraft-bedrock/addons/verity-bedrock-edition/files/8517473,26.13+,,2026-07-27,39.6,16100,current-version-other-bedrock-build,Use only when the player's Bedrock build or old tutorial names this exact record.,Match the exact Bedrock build row before importing.,https://veritymodchecker.online/pntmc-verity-3-2-0/
pntmc-8503821,PnTMC Verity Bedrock file 8503821,Bedrock,CurseForge,PnTMC,1575941,https://www.curseforge.com/minecraft-bedrock/addons/verity-bedrock-edition,7383790,mcaddon,ThatMob's Verity 3.1.0 by PnTMC [Add-on] - V26.30.mcaddon,8503821,https://www.curseforge.com/minecraft-bedrock/addons/verity-bedrock-edition/files/8503821,26.30,,2026-07-25,39.7,251400,previous-still-available,Use only when the player's Bedrock build or old tutorial names this exact record.,Match the exact Bedrock build row before importing.,https://veritymodchecker.online/pntmc-verity-3-2-0/
